,dGr_prime,SD of dGr_prime
r_0749,-16.38028367241418,17.821117785359988
r_0750,-16.37991746147577,18.183865662205083
r_0751,-16.380712171257073,17.385003021113608
r_0752,-16.380162854849914,17.734189859991954
r_0753,-16.380283170463144,17.528660331769036
r_0754,-16.380161100149735,17.87791010602469
r_0755,-16.38064854607694,17.24088030230677
r_0756,-16.380526475763645,17.58386558140054
r_0757,-23.56907199930174,3.9528963432400084
r_0758,-3.884760823703118,2.97761370664176
r_0759,6.197294361733157,13.23888194223963
r_0760,-40.07119887099043,14.15651294298114
r_0761,-42.73827396667883,13.567839967704701
r_0762,-17.25616753087317,9.416736545144804
r_0763,-120.48022850371217,26.384540766548444
r_0764,-34.67773611517225,12.122597482433092
r_0765,-6.714173215910705,12.605049496187826
r_0766,-21.62455471765611,12.605050275376492
r_0767,-32.17283880612945,11.962612433552273
r_0768,-8.324567411536918,11.527654735501491
r_0769,-8.324567411536918,11.527653109492713
r_0770,-70.23032781501342,60.05715814913256
r_0771,-6.714154141895506,12.548006649604737
r_0772,-21.62464889432181,12.548006292633355
r_0773,-66.17589957981909,60.05715895846742
r_0774,-22.380390285668682,10.039509843816836
r_0775,-37.505750969547535,10.039512260315414
r_0781,-59.51941836549567,57.97191384379239
r_0782,1.0572003301168706,34.742485034663304
r_0783,-0.43775563121448613,12.14973418247026
r_0784,-0.43775563121448613,12.149733427557607
r_0785,-2.5127816936242198,10.238038324131004
r_0786,4.290787853226675,9.825471755169081
r_0787,18.571404866816465,9.825474762739475
r_0788,-24.63505256866779,1.7247589668354861
r_0789,-24.63667028925056,12.9310680785974
r_0790,-24.632269967502452,8.349476912384313
r_0791,-24.816267538084276,8.34947740170413
r_0792,-24.636697807504788,8.772046292971329
r_0793,-24.62969146450928,1.9940958210040316
r_0795,-0.00028094936487832456,9.020231758868054
r_0796,-0.00012413678314260324,4.288466037951612
r_0797,-0.0004030375480397197,10.140984355691966
r_0798,-0.0002691459194466006,13.21438305518595
r_0799,-0.00038633135864074575,12.157652219026183
r_0800,-4.2073360873473575e-05,12.978642801011702
r_0801,-8.394418728130404e-06,2.5675052513818777
r_0802,-1.3590885373560013e-05,4.338241143779144
r_0803,-0.000510050159846287,9.82048312715644
r_0804,-26.008991521636744,12.896556995902367
r_0805,-26.008892711412045,8.48605381865862
r_0806,-26.008752645632512,8.901718619232877
r_0807,-26.009025200578662,2.113787266538178
r_0810,-24.807963635433907,12.931065714138898
r_0811,-0.00014088358602748485,8.610290124082063
r_0812,-50.99612917150793,10.261604888924271
r_0813,-45.31883015183348,4.166400811043544
r_0815,-46.52515536093193,22.1197166844911
r_0816,-26.587171637620713,5.1849910369481425
r_0817,-20.663789595442722,42.522873457365456
r_0818,0.08699703740757059,4.402399730967899
r_0819,2.4917981920547163,3.2706916342947907
r_0820,1.8147553490393875,6.07481774635658
r_0821,-6.152339871187678,7.665198705776943
r_0831,0.7733026502362463,16.78050165364096
r_0832,-22.384282779011187,10.031602016537542
r_0841,-2.755365963007307,12.665828464720592
r_0842,-13.819918104521982,10.537338747419458
r_0843,-42.3735119363723,10.147334337933732
r_0844,-27.3594611774301,13.597916585369521
